sr,clientName,gstin,clientType,senior,multiRegistration,member,turnover,papilioId,gstr9Status,gstr9cStatus,proposalStatus,targetDate,gstr9Arn,gstr9Date,gstr9cArn,gstr9cDate,mailSent,papilioUpdate,remarks
47,AWAVE SEMICONDUCTOR INDIA PRIVATE LIMITED,29AAACO5915B1ZO,,Aditya,Yes,Vinay kumar ,,,In Progress,In Progress,Select,,,,,,,,
48,AWAVE SEMICONDUCTOR INDIA PRIVATE LIMITED,27AAACO5915B1ZS,,Aditya,Yes,Vinay kumar ,,,In Progress,In Progress,Select,,,,,,,,
49,Arrowsight Private Limited,36AAXCA9421B1ZJ,,Aditya,No,Sachin,,,In Progress,In Progress,Select,,,,,,,,
50,The Chanakya University,29AAAJT3006F1ZA,,Aditya,No,Sachin,,,Ready for filing,Ready for filing,Select,,,,,,,,
54,GGWP India Private Limited,29AAICG7649A1ZF,,Aditya,No,Sachin,,,Ready for filing,Ready for filing,Select,,,,,,,,
56,Boxseat Ventures Private Limited - DL,07AAJCB8385R1ZN,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
57,Boxseat Ventures Private Limited - WB,19AAJCB8385R1ZI,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
58,Boxseat Ventures Private Limited - UP,09AAJCB8385R1ZJ,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
59,E6Data Computing Private Limited,29AAICE0484D1ZO,,Aditya,No,Sachin,,,Ready for filing,Ready for filing,Select,,,,,,,,
60,Vervent Technologies Private Limited-DTA,29AAKCV1283B1ZA,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
61,Vervent Technologies Private Limited-SEZ,29AAKCV1283B2Z9,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
62,Tricentis India Pvt Ltd,27AAGCT1444E1ZJ,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
63,Ennoventure Technologies Pvt Ltd,29AAFCE8047H1ZC,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
64,Alphonso Labs Private Limited,29AAPCA8040E1ZJ,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
65,Reflektive Labs Pvt Ltd,29AAICR5084N1ZK,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
66,Mobilizar Technologies Private Limited - Karnataka,29AAKCM2075Q1ZO,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
67,Mobilizar Technologies Private Limited - Mumbai,27AAKCM2075Q1ZS,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
68,Illig India Private Limited,29AADCI4680A1ZP,,Vishwas,No,,,,In Progress,In Progress,Select,,,,,,,,
69,iD Fresh Foods - Karnataka,29AAICM3930G1ZD,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
70,iD Fresh Foods - Tamil Nadu,33AAICM3930G1ZO,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
71,iD Fresh Foods - Maharashtra,27AAICM3930G1ZH,,Vishwas,Yes,,,,In Progress,In Progress,Select,,,,,,,,
